fn_name,indent,start,end,lines,kind
key,4,3113,3164,52,core
sep_obj,4,3165,3182,18,core
ident_name,4,3183,3186,4,core
ident,4,3187,3223,37,core
parse_ident,4,3224,3234,11,core
tag_starts_enum_decl,4,3235,3244,10,ui
parse_name,4,3245,3261,17,core
parse_fn_name,4,3262,3272,11,core
parse_ints,4,3273,3290,18,core
parse_int,4,3291,3338,48,core
parse_uint,4,3339,3373,35,core
parse_u8,4,3374,3389,16,core
parse_u64,4,3390,3404,15,core
parse_i8,4,3405,3419,15,core
is_literal,4,3420,3435,16,core
literal,4,3436,3456,21,core
parse_float,4,3457,3463,7,core
parse_double,4,3464,3470,7,core
parse_str,4,3471,3474,4,core
atom,4,3475,3479,5,core
atom_inner,4,3480,3806,327,core
fstr,4,3807,3874,68,core
if_expr,4,3875,3882,8,core
cond_expr,4,3883,3887,5,core
rhs_expr,4,3888,3958,71,core
rhs_lookahead_is_node,4,3959,4002,44,core
tag_cover,4,4003,4037,35,ui
is_branch_cond_expr,4,4038,4049,12,core
is_branch_cond_expr_inner,4,4050,4189,140,core
parse_struct_cover,4,4190,4225,36,ui
parse_option_pattern,4,4226,4254,29,core
parse_result_pattern,4,4255,4287,33,core
lhs_expr,4,4288,4345,58,core
iterable_expr,4,4346,4351,6,core
parse_closure,4,4352,4422,71,core
parse_api_args,0,4423,4440,18,core
extract_quoted_value,0,4441,4454,14,core
expect_eos,4,4455,4503,49,core
parse_stmt,4,4504,4572,69,core
parse_stmt_inner,4,4573,4879,307,core
parse_alias_stmt,4,4880,4909,30,core
parse_ext_stmt,4,4910,5238,329,core
enum_stmt,4,5239,5329,91,core
is_integer_type_name,4,5330,5349,20,core
parse_enum_body,4,5350,5514,165,core
parse_scalar_enum_items,4,5515,5558,44,core
parse_homo_enum_items,4,5559,5583,25,core
parse_enum_variant_fields,4,5584,5608,25,core
register_enum_decl,4,5609,5677,69,core
parse_task,4,5678,5682,5,task
parse_task_with_attrs,4,5683,5786,104,task
parse_task_state_field,4,5787,5808,22,task
parse_task_lifecycle_hook,4,5809,5848,40,task
parse_task_on_block,4,5849,5914,66,task
bind_task_pattern_names,4,5915,5935,21,task
parse_on_handler_body,4,5936,5960,25,core
parse_task_msg_pattern,4,5961,6046,86,ui
expect_ident_str,4,6047,6060,14,core
parse_use_items,4,6061,6105,45,core
use_c_stmt,4,6106,6156,51,core
use_rust_stmt,4,6157,6202,46,core
use_py_stmt,4,6203,6258,56,core
use_web_stmt,4,6259,6362,104,core
use_stmt,4,6363,6476,114,core
dep_stmt,4,6477,6555,79,core
parse_string_literal,4,6556,6572,17,core
get_file_extensions,4,6573,6583,11,core
file_exists,4,6584,6590,7,core
skip_balanced_parens,4,6591,6609,19,core
replace_self_with,4,6610,6628,19,core
skip_empty_lines,4,6629,6637,9,core
parse_body,4,6638,6656,19,core
parse_body_inner,4,6657,6706,50,core
is_dot_self_call,24,6707,6868,162,core
parse_node_body,4,6869,6876,8,core
is_ui_struct_construction,4,6877,6899,23,core
parse_braced_struct_args,4,6900,6917,18,core
body,4,6918,6921,4,core
if_contents,4,6922,6945,24,core
if_stmt,4,6946,6987,42,core
if_let_stmt,4,6988,6992,5,core
if_let_stmt_inner,4,6993,7015,23,core
bind_pattern_and_parse_body,4,7016,7066,51,core
for_stmt,4,7067,7304,238,core
is_stmt,4,7305,7313,9,core
hash_if_inner,4,7314,7343,30,core
hash_if_stmt,4,7344,7349,6,core
hash_for_stmt,4,7350,7381,32,core
macro_call_stmt,4,7382,7400,19,core
hash_is_stmt,4,7401,7423,23,core
parse_hash_is_branch,4,7424,7502,79,core
hash_brace_expr,4,7503,7510,8,core
parse_is,4,7511,7538,28,core
parse_expr_or_body,4,7539,7560,22,core
parse_is_branch,4,7561,7789,229,core
parse_store_stmt,4,7790,7906,117,ui
infer_type_expr,4,7907,7990,84,core
store_kind,4,7991,8009,19,ui
fn_cdecl_stmt,4,8010,8079,70,core
collect_annotation_args,4,8080,8128,49,core
is_annotation_dotted_path,4,8129,8161,33,core
parse_fn_annotations,4,8162,8354,193,core
parse_with_params,4,8355,8423,69,core
fn_decl_stmt,4,8424,8690,267,core
fn_decl_stmt_with_annotations,4,8691,8938,248,core
sep_params,4,8939,8956,18,core
fn_params,4,8957,9119,163,core
expr_stmt,4,9120,9123,4,core
spec_decl_stmt,4,9124,9225,102,core
spec_method,4,9226,9256,31,core
parse_type_alias,4,9257,9296,40,core
type_decl_stmt,4,9297,9300,4,core
type_decl_stmt_with_annotation,4,9301,9900,600,core
type_member,4,9901,9947,47,core
parse_delegation,4,9948,9969,22,core
union_stmt,4,9970,9994,25,core
union_field,4,9995,10001,7,core
get_int_expr,4,10002,10011,10,core
get_usize,4,10012,10047,36,core
parse_ptr_type,4,10048,10061,14,core
parse_array_type,4,10062,10209,148,core
parse_fn_type,4,10210,10220,11,core
parse_fn_signature,4,10221,10252,32,core
parse_type_param,4,10253,10275,23,core
parse_generic_param,4,10276,10328,53,core
parse_generic_params,4,10329,10384,56,core
parse_ident_or_generic_type,4,10385,10589,205,core
next_token_is_type,4,10590,10603,14,core
parse_generic_instance,4,10604,10611,8,core
parse_generic_instance_delim,4,10612,10836,225,core
parse_storage_from_env,4,10837,10864,28,core
parse_ident_type,4,10865,10876,12,core
is_type_name,4,10877,10891,15,core
is_keyword_as_type,4,10892,10897,6,core
parse_type,4,10898,10913,16,core
parse_type_base,4,10914,11039,126,core
is_imported_module,4,11040,11068,29,core
check_symbol,4,11069,11161,93,core
define_config_globals,4,11162,11175,14,core
find_type_for_expr,4,11176,11251,76,core
return_type,4,11252,11365,114,core
parse_node,4,11366,11464,99,core
parse_node_or_call_stmt,4,11465,11478,14,core
node_or_call_expr,4,11479,11829,351,core
call,4,11830,11859,30,core
parse_nav_call,4,11860,11889,30,core
grid,4,11890,11912,23,ui
parse_event_src,4,11913,11930,18,core
parse_cond_arrow,4,11931,11950,20,core
parse_arrow,4,11951,11968,18,core
parse_arrow_list,4,11969,11981,13,core
parse_event,4,11982,11993,12,core
parse_goto_branch,4,11994,11997,4,core
parse_on_events,4,11998,12035,38,ui
parse_widget_decl,4,12036,12202,167,ui
parse_widget_use_block_inner,4,12203,12357,155,ui
parse_watch_block_inner,4,12358,12489,132,core
parse_setup_block_inner,4,12490,12544,55,core
parse_expose_block_inner,4,12545,12587,43,core
parse_style_block_inner,4,12588,12611,24,ui
parse_store_decl,4,12612,12682,71,ui
looks_like_scene_decl,4,12683,12697,15,ui
parse_string_lit,4,12698,12723,26,core
parse_scene_decl,4,12724,12787,64,ui
